gun,value,durum
2020-09-03,9254.0,Yüksek Aktivite
2020-09-04,12324.0,Yüksek Aktivite
2020-09-05,6378.0,Orta Aktivite
2020-09-06,4583.0,Orta Aktivite
2020-09-07,4042.0,Orta Aktivite
2020-09-08,7580.0,Orta Aktivite
2020-09-09,3413.0,Düşük Aktivite
2020-09-10,7740.0,Orta Aktivite
2020-09-11,19251.0,Yüksek Aktivite
2020-09-12,10167.0,Yüksek Aktivite
2020-09-13,953.0,Düşük Aktivite
2020-09-14,4633.0,Orta Aktivite
2020-09-15,6411.0,Orta Aktivite
2020-09-16,5290.0,Orta Aktivite
2020-09-17,8612.0,Orta Aktivite
2020-09-18,16615.0,Yüksek Aktivite
2020-09-19,4972.0,Orta Aktivite
2020-09-20,568.0,Düşük Aktivite
2020-09-21,5507.0,Orta Aktivite
2020-09-22,5225.0,Orta Aktivite
2020-09-23,11629.0,Yüksek Aktivite
2020-09-24,5976.0,Orta Aktivite
2020-09-25,16556.0,Yüksek Aktivite
2020-09-26,6412.0,Orta Aktivite
2020-09-27,3628.0,Düşük Aktivite
2020-09-28,9425.0,Yüksek Aktivite
2020-09-29,6209.0,Orta Aktivite
2020-09-30,8071.0,Orta Aktivite
2020-10-01,5222.0,Orta Aktivite
2020-10-02,18236.0,Yüksek Aktivite
2020-10-03,11729.0,Yüksek Aktivite
2020-10-04,4680.0,Orta Aktivite
2020-10-05,7638.0,Orta Aktivite
2020-10-06,4632.0,Orta Aktivite
2020-10-07,4930.0,Orta Aktivite
2020-10-08,7702.0,Orta Aktivite
2020-10-09,16227.0,Yüksek Aktivite
2020-10-10,7752.0,Orta Aktivite
2020-10-11,3609.0,Düşük Aktivite
2020-10-12,3547.0,Düşük Aktivite
2020-10-13,5665.0,Orta Aktivite
2020-10-14,1462.0,Düşük Aktivite
2020-10-15,3414.0,Düşük Aktivite
2020-10-16,9079.0,Yüksek Aktivite
2020-10-17,5269.0,Orta Aktivite
2020-10-18,739.0,Düşük Aktivite
2020-10-19,4192.0,Orta Aktivite
2020-10-20,3018.0,Düşük Aktivite
2020-10-21,6481.0,Orta Aktivite
2020-10-22,4007.0,Orta Aktivite
2020-10-23,10966.0,Yüksek Aktivite
2020-10-24,2180.0,Düşük Aktivite
2020-10-25,3438.0,Düşük Aktivite
2020-10-26,3648.0,Düşük Aktivite
2020-10-27,3538.0,Düşük Aktivite
2020-10-28,8434.0,Orta Aktivite
2020-10-29,4433.0,Orta Aktivite
2020-10-30,9887.0,Yüksek Aktivite
2020-10-31,4376.0,Orta Aktivite
2020-11-01,4473.0,Orta Aktivite
2020-11-02,7319.0,Orta Aktivite
2020-11-03,2930.0,Düşük Aktivite
2020-11-04,1490.0,Düşük Aktivite
2020-11-05,4587.0,Orta Aktivite
2020-11-06,13994.0,Yüksek Aktivite
2020-11-07,3542.0,Düşük Aktivite
2020-11-08,4190.0,Orta Aktivite
2020-11-09,5092.0,Orta Aktivite
2020-11-10,6932.0,Orta Aktivite
2020-11-11,8478.0,Orta Aktivite
2020-11-12,9740.0,Yüksek Aktivite
2020-11-13,12142.0,Yüksek Aktivite
2020-11-14,3987.0,Düşük Aktivite
2020-11-15,2646.0,Düşük Aktivite
2020-11-16,707.0,Düşük Aktivite
2020-11-17,2491.0,Düşük Aktivite
2020-11-18,1135.0,Düşük Aktivite
2020-11-19,6529.0,Orta Aktivite
2020-11-20,6660.0,Orta Aktivite
2020-11-21,8908.0,Orta Aktivite
2020-11-22,3779.0,Düşük Aktivite
2020-11-23,6773.0,Orta Aktivite
2020-11-24,10181.0,Yüksek Aktivite
2020-11-25,6021.0,Orta Aktivite
2020-11-26,8368.0,Orta Aktivite
2020-11-27,13843.0,Yüksek Aktivite
2020-11-28,14027.0,Yüksek Aktivite
2020-11-29,1057.0,Düşük Aktivite
2020-11-30,6055.0,Orta Aktivite
2020-12-01,5598.0,Orta Aktivite
2020-12-02,1416.0,Düşük Aktivite
2020-12-03,4071.0,Orta Aktivite
2020-12-04,10125.0,Yüksek Aktivite
2020-12-05,8064.0,Orta Aktivite
2020-12-06,2508.0,Düşük Aktivite
2020-12-07,4069.0,Orta Aktivite
2020-12-08,4841.0,Orta Aktivite
2020-12-09,6096.0,Orta Aktivite
2020-12-10,4104.0,Orta Aktivite
2020-12-11,11258.0,Yüksek Aktivite
2020-12-12,2691.0,Düşük Aktivite
2020-12-13,1408.0,Düşük Aktivite
2020-12-14,2472.0,Düşük Aktivite
2020-12-15,5567.0,Orta Aktivite
2020-12-16,5574.0,Orta Aktivite
2020-12-17,5466.0,Orta Aktivite
2020-12-18,13917.0,Yüksek Aktivite
2020-12-19,5522.0,Orta Aktivite
2020-12-20,1825.0,Düşük Aktivite
2020-12-21,5747.0,Orta Aktivite
2020-12-22,2198.0,Düşük Aktivite
2020-12-23,6185.0,Orta Aktivite
2020-12-24,11181.0,Yüksek Aktivite
2020-12-25,7314.0,Orta Aktivite
2020-12-26,4722.0,Orta Aktivite
2020-12-27,9420.0,Yüksek Aktivite
2020-12-28,9144.0,Yüksek Aktivite
2020-12-29,5111.0,Orta Aktivite
2020-12-30,4103.0,Orta Aktivite
2020-12-31,5177.0,Orta Aktivite
2021-01-01,8633.0,Orta Aktivite
2021-01-02,3294.0,Düşük Aktivite
2021-01-03,5555.0,Orta Aktivite
2021-01-04,7743.0,Orta Aktivite
2021-01-05,13172.0,Yüksek Aktivite
2021-01-06,3800.0,Düşük Aktivite
2021-01-07,8149.0,Orta Aktivite
2021-01-08,4831.0,Orta Aktivite
2021-01-09,5598.0,Orta Aktivite
2021-01-10,1729.0,Düşük Aktivite
2021-01-11,4940.0,Orta Aktivite
2021-01-12,4019.0,Orta Aktivite
2021-01-13,7861.0,Orta Aktivite
2021-01-14,9408.0,Yüksek Aktivite
2021-01-15,8026.0,Orta Aktivite
2021-01-16,6141.0,Orta Aktivite
2021-01-17,4878.0,Orta Aktivite
2021-01-18,4516.0,Orta Aktivite
2021-01-19,4586.0,Orta Aktivite
2021-01-20,3743.0,Düşük Aktivite
2021-01-21,4074.0,Orta Aktivite
2021-01-22,6438.0,Orta Aktivite
2021-01-23,6244.0,Orta Aktivite
2021-01-24,3446.0,Düşük Aktivite
2021-01-25,4126.0,Orta Aktivite
2021-01-26,6454.0,Orta Aktivite
2021-01-27,5997.0,Orta Aktivite
2021-01-28,7026.0,Orta Aktivite
2021-01-29,9364.0,Yüksek Aktivite
2021-01-30,9876.0,Yüksek Aktivite
2021-01-31,5505.0,Orta Aktivite
2021-02-01,10481.0,Yüksek Aktivite
2021-02-02,5726.0,Orta Aktivite
2021-02-03,3172.0,Düşük Aktivite
2021-02-04,16681.0,Yüksek Aktivite
2021-02-05,5025.0,Orta Aktivite
2021-02-06,7400.0,Orta Aktivite
2021-02-07,3265.0,Düşük Aktivite
2021-02-08,4917.0,Orta Aktivite
2021-02-09,5401.0,Orta Aktivite
2021-02-10,3890.0,Düşük Aktivite
2021-02-11,9124.0,Yüksek Aktivite
2021-02-12,6803.0,Orta Aktivite
2021-02-13,6430.0,Orta Aktivite
2021-02-14,2620.0,Düşük Aktivite
2021-02-15,5391.0,Orta Aktivite
2021-02-16,3763.0,Düşük Aktivite
2021-02-17,8016.0,Orta Aktivite
2021-02-18,6109.0,Orta Aktivite
2021-02-19,7654.0,Orta Aktivite
2021-02-20,11769.0,Yüksek Aktivite
2021-02-21,2612.0,Düşük Aktivite
2021-02-22,4914.0,Orta Aktivite
2021-02-23,3900.0,Düşük Aktivite
2021-02-24,6038.0,Orta Aktivite
2021-02-25,7701.0,Orta Aktivite
2021-02-26,9670.0,Yüksek Aktivite
2021-02-27,10804.0,Yüksek Aktivite
2021-02-28,2632.0,Düşük Aktivite
2021-03-01,8219.0,Orta Aktivite
2021-03-02,4302.0,Orta Aktivite
2021-03-03,6313.0,Orta Aktivite
2021-03-04,7235.0,Orta Aktivite
2021-03-05,14406.0,Yüksek Aktivite
2021-03-06,5407.0,Orta Aktivite
2021-03-07,5758.0,Orta Aktivite
2021-03-08,2396.0,Düşük Aktivite
2021-03-09,5278.0,Orta Aktivite
2021-03-10,5455.0,Orta Aktivite
2021-03-11,6240.0,Orta Aktivite
